 1752532658562: GET: /api/users  1752532684343: GET: /api/users/1004  1752532730258: GET: /api/users/1004  1752532792347: GET: /api/users/1004  
 1752532805634: GET: /api/users/1004  
 1752532818273: GET: /api/users  
 1752532829523: GET: /api/users/1004  
 1752532908416: ::1: GET: /api/users/1004  
 1752533836653: ::1: GET: /api/users  
 1752534137404: ::1: GET: /api/users  
 1752534232036: ::1: GET: /api/users  
 1752534472724: ::1: GET: /api/users  
 1752600859855: ::1: GET: /api/users  
 1752600922552: ::1: POST: /api/users  
 1752601194036: ::1: GET: /api/users  
 1752601202772: ::1: POST: /api/users  
 1752603327413: ::1: GET: /  
 1752603328792: ::1: GET: /  
 1752603335451: ::1: GET: /users  
 1752603335734: ::1: GET: /favicon.ico  
 1752603492687: ::1: GET: /users/1002 
